year_month,year,month,month_name,mode,line_id,line,total_ridership,avg_daily_ridership,days_observed
2023-08,2023,8,Aug,LRT,AG/PH,LRT Ampang/Sri Petaling,4482065,144583,31
2023-08,2023,8,Aug,LRT,KJ,LRT Kelana Jaya,6583736,212379,31
2023-08,2023,8,Aug,MRT,KGL,MRT Kajang,5906244,190524,31
2023-08,2023,8,Aug,MRT,PYL,MRT Putrajaya,3099685,99990,31
2023-08,2023,8,Aug,Monorail,MR,KL Monorail,1601305,51655,31
2023-09,2023,9,Sep,LRT,AG/PH,LRT Ampang/Sri Petaling,4282036,142735,30
2023-09,2023,9,Sep,LRT,KJ,LRT Kelana Jaya,6302197,210073,30
2023-09,2023,9,Sep,MRT,KGL,MRT Kajang,5714336,190478,30
2023-09,2023,9,Sep,MRT,PYL,MRT Putrajaya,2987450,99582,30
2023-09,2023,9,Sep,Monorail,MR,KL Monorail,1519717,50657,30
2023-10,2023,10,Oct,LRT,AG/PH,LRT Ampang/Sri Petaling,4633424,149465,31
2023-10,2023,10,Oct,LRT,KJ,LRT Kelana Jaya,6824938,220159,31
2023-10,2023,10,Oct,MRT,KGL,MRT Kajang,6137159,197973,31
2023-10,2023,10,Oct,MRT,PYL,MRT Putrajaya,3299662,106441,31
2023-10,2023,10,Oct,Monorail,MR,KL Monorail,1622435,52337,31
2023-11,2023,11,Nov,LRT,AG/PH,LRT Ampang/Sri Petaling,4572190,152406,30
2023-11,2023,11,Nov,LRT,KJ,LRT Kelana Jaya,6630252,221008,30
2023-11,2023,11,Nov,MRT,KGL,MRT Kajang,6133584,204453,30
2023-11,2023,11,Nov,MRT,PYL,MRT Putrajaya,3320682,110689,30
2023-11,2023,11,Nov,Monorail,MR,KL Monorail,1683327,56111,30
2023-12,2023,12,Dec,LRT,AG/PH,LRT Ampang/Sri Petaling,4561106,147132,31
2023-12,2023,12,Dec,LRT,KJ,LRT Kelana Jaya,6479670,209022,31
2023-12,2023,12,Dec,MRT,KGL,MRT Kajang,6749650,217731,31
2023-12,2023,12,Dec,MRT,PYL,MRT Putrajaya,3624550,116921,31
2023-12,2023,12,Dec,Monorail,MR,KL Monorail,1802759,58154,31
2024-01,2024,1,Jan,LRT,AG/PH,LRT Ampang/Sri Petaling,4505943,145353,31
