stop_id,station_name,stop_name,stop_lat,stop_lon,category,route_id,route_short_name,route_long_name,route_color_hex,isOKU,is_interchange_name,status
MR9,Medan Tuanku,MEDAN TUANKU,3.15935,101.69888,MRL,MR,MRL,KL Monorail Line,#84bd00,True,False,valid
MR10,Chow Kit,CHOW KIT,3.167358,101.698379,MRL,MR,MRL,KL Monorail Line,#84bd00,True,False,valid
MR11,Titiwangsa,TITIWANGSA,3.173192,101.696022,MRL,MR,MRL,KL Monorail Line,#84bd00,True,True,valid
BRT1,Sunway-Setia Jaya,SUNWAY-SETIA JAYA,3.0828,101.6123,BRT,BRT,BRT,BRT Sunway Line,#115740,True,False,valid
BRT2,Mentari,MENTARI,3.0761,101.6101,BRT,BRT,BRT,BRT Sunway Line,#115740,True,False,valid
BRT3,Sunway Lagoon ,SUNWAY LAGOON ,3.0706,101.6107,BRT,BRT,BRT,BRT Sunway Line,#115740,True,False,valid
BRT4,Sunmed,SUNMED,3.0656,101.6087,BRT,BRT,BRT,BRT Sunway Line,#115740,True,False,valid
BRT5,Sunu-Monash,SunU-Monash,3.0654,101.6016,BRT,BRT,BRT,BRT Sunway Line,#115740,True,False,valid
BRT6,South Quay-Usj 1,SOUTH QUAY-USJ 1,3.0617,101.5969,BRT,BRT,BRT,BRT Sunway Line,#115740,True,False,valid
BRT7,Usj7,USJ7,3.0553,101.5919,BRT,BRT,BRT,BRT Sunway Line,#115740,True,False,valid
